formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C4H10O3Si	[M + H]+	C4H11O3Si+	Fatty acids	0.934	Fatty Acids and Conjugates	0.840	Halogenated fatty acids	0.942	Organic acids and derivatives	0.644	Carboxylic acids and derivatives	0.566					Carboxylic acids and derivatives	0.566	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	135.047	37	0.622	803421369346714406	803421192116389935	121	
1	C4H10O3Si	[M + H]+	C4H11O3Si+	Fatty acids	0.934	Fatty Acids and Conjugates	0.840	Halogenated fatty acids	0.942	Organic acids and derivatives	0.644	Carboxylic acids and derivatives	0.566					Carboxylic acids and derivatives	0.566	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	135.047	37	0.622	803421869355477591	803421758659397703	121	
1	C8H20NO6P	[M + H]+	C8H21NO6P+	Fatty acids	0.991	Glycerophospholipids	0.968	Glycerophosphocholines	0.922	Organic nitrogen compounds	0.961	Organonitrogen compounds	0.829	Quaternary ammonium salts	0.975	Cholines	0.921	Phosphocholines	0.894	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Secondary alcohols; Polyols; Amines; 1,2-diols; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	258.110	38	0.627	803421365697669689	803421192305133623	123	
1	C8H20NO6P	[M + H]+	C8H21NO6P+	Fatty acids	0.991	Glycerophospholipids	0.968	Glycerophosphocholines	0.922	Organic nitrogen compounds	0.961	Organonitrogen compounds	0.829	Quaternary ammonium salts	0.975	Cholines	0.921	Phosphocholines	0.894	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Secondary alcohols; Polyols; Amines; 1,2-diols; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	258.110	38	0.627	803421870840261242	803421758856529999	123	
1	C6H11NO3	[M + H]+	C6H12NO3+	Amino acids and Peptides	0.990	Small peptides	0.997	Aminoacids	0.998	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.990	Amino acids and derivatives	0.990	Alpha amino acids	0.850	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Dialkylamines; Alpha amino acids; Piperidinecarboxylic acids; Amines; Secondary amines; Alkanolamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	146.081	38	0.627	803421364766534144	803421192493877311	102	
1	C6H11NO3	[M + H]+	C6H12NO3+	Amino acids and Peptides	0.990	Small peptides	0.997	Aminoacids	0.998	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.990	Amino acids and derivatives	0.990	Alpha amino acids	0.850	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Dialkylamines; Alpha amino acids; Piperidinecarboxylic acids; Amines; Secondary amines; Alkanolamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	146.081	38	0.627	803421869414197857	803421759083022423	102	
1	C5H14NO4P	[M + H]+	C5H15NO4P+	Fatty acids	0.724	Spingolipids	0.151	Sphingoid bases	0.711	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.998	Quaternary ammonium salts	0.987	Cholines	0.795	Phosphocholines	0.780	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	184.073	38	0.628	803421365047552524	803421192389019707	124	
1	C5H14NO4P	[M + H]+	C5H15NO4P+	Fatty acids	0.724	Spingolipids	0.151	Sphingoid bases	0.711	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.998	Quaternary ammonium salts	0.987	Cholines	0.795	Phosphocholines	0.780	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	184.073	38	0.628	803421870404053611	803421758965581907	124	
1	C11H17N4O9P	[M + H]+	C11H18N4O9P+	Carbohydrates	0.999	Nucleosides	0.998	Purine nucleotides	0.996	Nucleosides, nucleotides, and analogues	0.958	Purine nucleotides	0.913					Purine nucleotides	0.913	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Hypoxanthines; Xanthines; Organic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Azoles; Purinones; Diazines; Pentoses; 6-oxopurines; Purine nucleotides; Monosaccharides; Monosaccharide phosphates; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Pentose phosphates; Substituted imidazoles; N-substituted imidazoles; Tetrahydrofurans; Alkyl phosphates; Monoalkyl phosphates; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	381.079	38	0.633	803421374224690349	803421192686815303	129	
1	C11H17N4O9P	[M + H]+	C11H18N4O9P+	Carbohydrates	0.999	Nucleosides	0.998	Purine nucleotides	0.996	Nucleosides, nucleotides, and analogues	0.958	Purine nucleotides	0.913					Purine nucleotides	0.913	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Hypoxanthines; Xanthines; Organic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Azoles; Purinones; Diazines; Pentoses; 6-oxopurines; Purine nucleotides; Monosaccharides; Monosaccharide phosphates; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Pentose phosphates; Substituted imidazoles; N-substituted imidazoles; Tetrahydrofurans; Alkyl phosphates; Monoalkyl phosphates; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	381.079	38	0.633	803421877072997363	803421759292737631	129	
1	C7H7NO2	[M + H]+	C7H8NO2+	Alkaloids	0.996	Nicotinic acid alkaloids	0.994	Pyridine alkaloids	0.994	Organoheterocyclic compounds	1.000	Pyridines and derivatives	0.997	Pyridinecarboxylic acids and derivatives	0.939	Pyridinecarboxylic acids	0.936	Pyridinecarboxylic acids	0.936	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Pyridinecarboxylic acids and derivatives; Pyridinium derivatives; Pyridinecarboxylic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Methylpyridines; N-methylpyridinium compounds; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	138.055	38	0.636	803421371691330564	803421192804255819	131	
1	C7H7NO2	[M + H]+	C7H8NO2+	Alkaloids	0.996	Nicotinic acid alkaloids	0.994	Pyridine alkaloids	0.994	Organoheterocyclic compounds	1.000	Pyridines and derivatives	0.997	Pyridinecarboxylic acids and derivatives	0.939	Pyridinecarboxylic acids	0.936	Pyridinecarboxylic acids	0.936	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Pyridinecarboxylic acids and derivatives; Pyridinium derivatives; Pyridinecarboxylic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Methylpyridines; N-methylpyridinium compounds; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	138.055	38	0.636	803421882873720056	803421759422761059	131	
1	C6H9NO2	[M + H]+	C6H10NO2+	Amino acids and Peptides	0.949	Small peptides	0.973	Aminoacids	0.986	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.944	Amino acids and derivatives	0.943	Alpha amino acids	0.536	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Piperidinecarboxylic acids and derivatives; Dialkylamines; Alpha amino acids; Piperidinecarboxylic acids; Amines; Secondary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	128.070	38	0.637	803421368210057962	803421193127217243	230	
1	C6H9NO2	[M + H]+	C6H10NO2+	Amino acids and Peptides	0.949	Small peptides	0.973	Aminoacids	0.986	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.944	Amino acids and derivatives	0.943	Alpha amino acids	0.536	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Piperidinecarboxylic acids and derivatives; Dialkylamines; Alpha amino acids; Piperidinecarboxylic acids; Amines; Secondary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	128.070	38	0.637	803421870924147333	803421759779276915	230	
1	C15H28O13	[M + Na]+	C15H28NaO13+	Carbohydrates	0.999	Saccharides	0.999	Disaccharides	0.997	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	1.000	Disaccharides	0.818	Disaccharides	0.818	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	439.142	38	0.639	803421369866808153	803421192896530511	132	
1	C15H28O13	[M + Na]+	C15H28NaO13+	Carbohydrates	0.999	Saccharides	0.999	Disaccharides	0.997	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	1.000	Disaccharides	0.818	Disaccharides	0.818	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	439.142	38	0.639	803421875667905446	803421759523424359	132	
2	C8H17NO5	[M - H2O + H]+	C8H16NO4+	Carbohydrates	0.995	Aminosugars and aminoglycosides	0.962	Aminosugars	0.960	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.987	Alkanolamines	0.948	1,2-aminoalcohols	0.944	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Alkanolamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	190.107	39	0.649	803421366230346328	803421192976222291	111	
2	C8H17NO5	[M - H2O + H]+	C8H16NO4+	Carbohydrates	0.995	Aminosugars and aminoglycosides	0.962	Aminosugars	0.960	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.987	Alkanolamines	0.948	1,2-aminoalcohols	0.944	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Alkanolamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	190.107	39	0.649	803421871934974646	803421759611504747	111	
1	C7H13NO3	[M + H]+	C7H14NO3+	Amino acids and Peptides	0.957	Small peptides	0.986	Aminoacids	0.992	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.992	Amino acids and derivatives	0.992	Alpha amino acids	0.890	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Dialkylamines; Trialkylamines; Alpha amino acids; Amines; Secondary amines; Tertiary amines; Alkanolamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	160.097	39	0.652	803421365332765211	803421193227880543	130	
1	C7H13NO3	[M + H]+	C7H14NO3+	Amino acids and Peptides	0.957	Small peptides	0.986	Aminoacids	0.992	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.992	Amino acids and derivatives	0.992	Alpha amino acids	0.890	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Dialkylamines; Trialkylamines; Alpha amino acids; Amines; Secondary amines; Tertiary amines; Alkanolamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	160.097	39	0.652	803421871121279629	803421759879940215	130	
1	C18H32O16	[M + Na]+	C18H32NaO16+	Carbohydrates	1.000	Saccharides	1.000	Disaccharides	0.996	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	1.000	Oligosaccharides	0.680	Oligosaccharides	0.680	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Oligosaccharides; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; C-glycosyl compounds; O-glycosyl compounds; Polyols; Tetrahydrofurans; Oxacyclic compounds; Hydrocarbon derivatives; Ketals; Organic oxygen compounds; Chemical entities	527.158	39	0.655	803421381703134758	803421193307572323	150	
