formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C12HN2O4P	[M - H]-	C12N2O4P-	Alkaloids	0.841	Anthranilic acid alkaloids	0.669	Phenazine alkaloids	0.096	Benzenoids	0.987							Benzenoids	0.987	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	266.960	26	0.429	736164882297869798	736164163519977427	73	
1	C3H3F2N4O4	[M - CH3 - H]-	C2-HF2N4O4-	Alkaloids	0.233	Small peptides	0.672	Aminoacids	0.619	Organoheterocyclic compounds	0.901	Azoles	0.618					Azoles	0.618	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl fluorides; Monocarboxylic acids and derivatives; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Organofluorides; Alkyl halides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	180.981	26	0.430	736164871375898529	736164146537239311	53	
1	C3H2N3O10	[M - H]-	C3HN3O10-	Alkaloids	0.347	Cyclic polyketides	0.010	Pyridine alkaloids	0.009	Organic 1,3-dipolar compounds	0.986	Allyl-type 1,3-dipolar organic compounds	0.970	Organic nitro compounds	0.974	C-nitro compounds	0.963	Nitroaromatic compounds	0.883	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Organic oxoazanium compounds; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	238.965	26	0.430	736164877289869594	736164158025438792	74	
1	C6HBrFN3O4	[M - H]-	C6BrFN3O4-	Alkaloids	0.688	Histidine alkaloids	0.182	Imidazole alkaloids	0.176	Organic 1,3-dipolar compounds	0.905	Allyl-type 1,3-dipolar organic compounds	0.935	Organic nitro compounds	0.933	C-nitro compounds	0.926	Nitroaromatic compounds	0.862	Organic compounds; Organoheterocyclic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl bromides; Aryl fluorides; Organic nitro compounds; Organic oxoazanium compounds; Organobromides; Organofluorides; Halopyrimidines; Aryl halides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	275.905	26	0.437	736164878669796048	736164165138978901	557	
1	C9H2O14	[M - H]-	C9HO14-	Polyketides	0.619	Tropolones	0.509	Naphthoquinones	0.436	Benzenoids	0.663							Benzenoids	0.663	Organic compounds; Organoheterocyclic compounds; Ketones; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Polyols; Benzenoids; Cyclic ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	332.938	26	0.438	736164886387317513	736164175675071434	87	
1	C10H2O9	[M - H]-	C10HO9-	Shikimates and Phenylpropanoids	0.870	Coumarins	0.183	Simple coumarins	0.362	Phenylpropanoids and polyketides	0.558	Coumarins and derivatives	0.693	Hydroxycoumarins	0.786	7,8-dihydroxycoumarins	0.623	7,8-dihydroxycoumarins	0.623	Organic compounds; Organoheterocyclic compounds; Pyrans; Ketones; Benzopyrans; Alcohols and polyols; Phenols; Coumarins and derivatives; Phenylpropanoids and polyketides; Organooxygen compounds; Pyranones and derivatives; Carbonyl compounds; Polyols; Benzenoids; 7,8-dihydroxycoumarins; Hydroxycoumarins; 1-benzopyrans; Cyclic ketones; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	264.963	26	0.438	736164877919015368	736164163339622340	57	
1	C5H7ClFN3O4S2	[M - H]-	C5H6ClFN3O4S2-	Amino acids and Peptides	0.270	β-lactams	0.021	Cephalosporins	0.031	Organosulfur compounds	0.970	Sulfonyls	0.898	Sulfones	0.515			Sulfones	0.515	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Sulfones; Alkyl chlorides; Alkyl fluorides; Sulfonyls; Organochlorides; Organofluorides; Alkyl halides; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	289.948	27	0.447	736164887784021519	736164167575869735	165	
1	C8H5ClN2O6S	[M - H]-	C8H4ClN2O6S-	Polyketides	0.145	Small peptides	0.005	Simple phenolic acids	0.011	Organohalogen compounds	0.999	Aryl halides	0.984	Aryl chlorides	0.981			Aryl chlorides	0.981	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Organic nitro compounds; Sulfonyls; Organic oxoazanium compounds; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Allyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	290.949	27	0.451	736164879378633638	736164167819139387	194	
1	C3H7N2O7PS	[M - H]-	C3H6N2O7PS-	Amino acids and Peptides	0.513	Histidine alkaloids	0.494	Imidazole alkaloids	0.497	Organic acids and derivatives	0.998	Organic phosphoric acids and derivatives	0.854	Phosphate esters	0.543			Phosphate esters	0.543	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Organic sulfuric acids and derivatives; Phosphate esters; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	244.963	27	0.451	736164884537628731	736164159543776960	777	
1	C5H7Cl2F2N3O2Si	[M - H]-	C5H6Cl2F2N3O2Si-	Alkaloids	0.177	Histidine alkaloids	0.301	Imidazole alkaloids	0.295	Organoheterocyclic compounds	0.990	Azoles	0.945					Azoles	0.945	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Alkyl chlorides; Alkyl fluorides; Carboxylic acid derivatives; Organochlorides; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Chloroacetamides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	275.957	27	0.452	736164885422627200	736164165206087770	214	
1	C2HF3NO4	[M - CO2 - H]-	CF3NO2-	Fatty acids	0.194	Fatty Acids and Conjugates	0.438	Halogenated fatty acids	0.669	Organic acids and derivatives	0.802	Carboxylic acids and derivatives	0.659	Carboxylic acids	0.548			Carboxylic acids	0.548	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Carboxylic acids; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	114.988	27	0.452	736164884667652205	736164133329375320	216	
1	C3HF4O3	[M - H]-	C3F4O3-	Fatty acids	0.248	Fatty Acids and Conjugates	0.132	Halogenated fatty acids	0.490	Organic oxygen compounds	0.998	Organooxygen compounds	0.999	Carbonyl compounds	0.959	Ketones	0.748	Ketones	0.748	Organic compounds; Ketones; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	159.979	27	0.452	736164866221096798	736164140988174809	217	
1	C7H2F5NO3S	[M - H]-	C7HF5NO3S-	Alkaloids	0.209	Fatty acyls	0.014	Halogenated fatty acids	0.028	Organoheterocyclic compounds	0.873	Heteroaromatic compounds	0.708					Heteroaromatic compounds	0.708	Organic compounds; Organoheterocyclic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	273.960	27	0.452	736164882042017162	736164164690188338	743	
1	C8H2Cl2F6N2O2	[M + CH2O2 - H]-	C9H3Cl2F6N2O4-	Alkaloids	0.206	Small peptides	0.073	Aminoacids	0.068	Benzenoids	0.997	Benzene and substituted derivatives	0.992	Trifluoromethylbenzenes	0.813			Trifluoromethylbenzenes	0.813	Organic compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Aryl chlorides; Aryl fluorides; Chlorobenzenes; Fluorobenzenes; Organochlorides; Organofluorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Alkyl halides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Trifluoromethylbenzenes; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	386.939	27	0.452	736164942758784977	736164182381764115	224	
1	C9HF3N2O3S	[M - H]-	C9F3N2O3S-	Alkaloids	0.793	Anthranilic acid alkaloids	0.068	Pyridine alkaloids	0.038	Organoheterocyclic compounds	1.000	Azoles	0.797	Thiazoles	0.828			Thiazoles	0.828	Organic compounds; Organoheterocyclic compounds; Thiazoles; Lactams; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl fluorides; Organofluorides; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	272.959	27	0.453	736164878514606735	736164164325283860	231	
1	C3H2F6N2O4S	[M - H]-	C3HF6N2O4S-	Alkaloids	0.213	Small peptides	0.038	Halogenated fatty acids	0.096	Organic acids and derivatives	0.909	Organic sulfonic acids and derivatives	0.835	Organosulfonic acids and derivatives	0.829			Organosulfonic acids and derivatives	0.829	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Sulfonyls; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	274.956	27	0.453	736164906960384998	736164164824406076	232	
1	C5H6F7NO7S2	[M - H]-	C5H5F7NO7S2-	Fatty acids	0.750	Small peptides	0.167	Aminoacids	0.184	Organic acids and derivatives	0.997	Organic sulfonic acids and derivatives	0.907	Organosulfonic acids and derivatives	0.907			Organosulfonic acids and derivatives	0.907	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Sulfonyls; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	387.940	27	0.453	736164902594113155	736164182885080640	235	
1	C11H4Cl2F4N2O5	[M - H]-	C11H3Cl2F4N2O5-	Shikimates and Phenylpropanoids	0.285	Phenolic acids (C6-C1)	0.097	Simple phenolic acids	0.018	Benzenoids	0.995	Benzene and substituted derivatives	0.983	Benzoic acids and derivatives	0.558	Nitrobenzoic acids and derivatives	0.799	Nitrobenzoic acids and derivatives	0.799	Organic compounds; Halobenzenes; Nitrobenzenes; Alkyl aryl ethers; Benzoic acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Alkyl fluorides; Aryl chlorides; Aryl fluorides; Chlorobenzenes; Fluorobenzenes; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Organochlorides; Organofluorides; Nitrobenzoic acids and derivatives; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Alkyl halides; Organic cations; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	388.936	27	0.453	736164916359824752	736164183107378767	236	
1	C13H11BrCl2F2N4O4	[M - H]-	C13H10BrCl2F2N4O4-	Alkaloids	0.214	Proline alkaloids	0.012	Pyrrole alkaloids	0.012	Benzenoids	0.999	Benzene and substituted derivatives	0.998	Halobenzenes	0.992	Chlorobenzenes	0.940	Dichlorobenzenes	0.519	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Pyrazoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl fluorides; Aryl bromides; Aryl chlorides; Bromobenzenes; Chlorobenzenes; Organobromides; Organochlorides; Organofluorides; Benzene and substituted derivatives; Phenol ethers; Pyrazole carboxylic acids and derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Pyrazole-5-carboxamides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	472.924	27	0.453	736164902124350922	736164194775933515	238	
1	C4H3ClN2O3	[M - H]-	C4H2ClN2O3-	Amino acids and Peptides	0.357	Peptide alkaloids	0.676	Pyrazine and Piperazine alkaloids	0.338	Organohalogen compounds	0.998	Aryl halides	0.956	Aryl chlorides	0.949			Aryl chlorides	0.949	Organic compounds; Organoheterocyclic compounds; Lactams; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Diazines; Organochlorides; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	160.976	27	0.453	736164899456772732	736164141269193192	1488	
1	C11H9F4NO11S3	[M - H]-	C11H8F4NO11S3-	Amino acids and Peptides	0.792	Small peptides	0.135	Aminoacids	0.167	Organic acids and derivatives	0.985	Organic sulfonic acids and derivatives	0.579	Organosulfonic acids and derivatives	0.575	Alkanesulfonic acids and derivatives	0.334	Alkanesulfonic acids	0.557	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Sulfonyls; Organofluorides; Carbonyl compounds; Alkyl halides; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	501.920	27	0.454	736164913226677979	736164198764716959	248	
1	C13H8F2N2O11S3	[M - H]-	C13H7F2N2O11S3-	Amino acids and Peptides	0.962	Peptide alkaloids	0.166	Thiodiketopiperazine alkaloids	0.088	Organic acids and derivatives	0.987	Carboxylic acids and derivatives	0.949	Amino acids, peptides, and analogues	0.781	Amino acids and derivatives	0.777	Alpha amino acids and derivatives	0.829	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Alkyl fluorides; Carboxylic acid derivatives; Sulfonyls; Organofluorides; Carbonyl compounds; Benzenoids; Alkyl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	500.919	27	0.455	736164907111380021	736164198596944784	262	
1	C15H7Cl3F4N4O3S	[M - H]-	C15H6Cl3F4N4O3S-	Alkaloids	0.781	Proline alkaloids	0.006	Purine alkaloids	0.009	Organoheterocyclic compounds	1.000	Azoles	0.974	Pyrazoles	0.874	Phenylpyrazoles	0.676	Phenylpyrazoles	0.676	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Pyrazoles; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Sulfoxides; Alkyl fluorides; Aryl chlorides; Chlorobenzenes; Organochlorides; Organofluorides; Phenylpyrazoles; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Alkyl halides; Sulfinyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Halomethanes; Trihalomethanes; Trifluoromethylbenzenes; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	502.917	27	0.455	736164918771550625	736164198827631524	263	
1	C13H6ClF3N4O7S3	[M - H]-	C13H5ClF3N4O7S3-	Alkaloids	0.378	Small peptides	0.012	Flavonols	0.009	Benzenoids	0.985	Benzene and substituted derivatives	0.934	Nitrobenzenes	0.825			Nitrobenzenes	0.825	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Nitrobenzenes; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Aryl chlorides; Chlorobenzenes; Organic nitro compounds; Sulfonyls; Organic oxoazanium compounds; Organochlorides; Organofluorides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Alkyl halides; Aminosulfonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	516.896	27	0.456	736164911267936983	736164199934927880	315	
