formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C3H7N2O7PS	[M - H]-	C3H6N2O7PS-	Alkaloids	0.496	Histidine alkaloids	0.375	Imidazole alkaloids	0.377	Organic acids and derivatives	0.996	Organic phosphoric acids and derivatives	0.632					Organic phosphoric acids and derivatives	0.632	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Organic sulfuric acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	244.964	26	0.435	757860195213646931	757859795681012244	2699	
1	C2H5NO10S2	[M - H]-	C2H4NO10S2-	Amino acids and Peptides	0.240	Small peptides	0.062	Aminoacids	0.050	Organic acids and derivatives	0.998	Organic sulfuric acids and derivatives	0.553					Organic sulfuric acids and derivatives	0.553	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic sulfuric acids and derivatives; Sulfonyls; Carbonyl compounds; Acylsulfonic acids and derivatives; Acylsulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.928	26	0.436	757860188817330284	757859795777481241	496	
1	C9H9IO9S	[M - H]-	C9H8IO9S-	Shikimates and Phenylpropanoids	0.762	Phenolic acids (C6-C1)	0.209	Simple phenolic acids	0.537	Benzenoids	1.000	Phenol ethers	0.545					Phenol ethers	0.545	Organic compounds; Organosulfur compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organooxygen compounds; Aryl iodides; Iodobenzenes; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Organoiodides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	418.894	26	0.441	757860173512308740	757859795962030627	692	
1	C5H2ClF3N2O3	[M - H]-	C5HClF3N2O3-	Alkaloids	0.253	Histidine alkaloids	0.052	Imidazole alkaloids	0.051	Organoheterocyclic compounds	0.951	Diazines	0.721					Diazines	0.721	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Diazines; Organochlorides; Organofluorides; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	228.964	27	0.452	757860185273141545	757859796230466098	730	
1	C8H4N4O7S4	[M - H]-	C8H3N4O7S4-	Amino acids and Peptides	0.164	Histidine alkaloids	0.014	Imidazole alkaloids	0.015	Organic acids and derivatives	0.952	Organic sulfonic acids and derivatives	0.968	Organosulfonic acids and derivatives	0.966	Arylsulfonic acids and derivatives	0.746	Arylsulfonic acids and derivatives	0.746	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Sulfonyls; Organosulfonic acids; Arylsulfonic acids and derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	394.889	28	0.470	757860185537382821	757859796326935095	787	
1	C3H4BrF3N4O4S	[M - H]-	C3H3BrF3N4O4S-	Alkaloids	0.844	Histidine alkaloids	0.055	Polyamines	0.126	Organosulfur compounds	0.968	Sulfonyls	0.847					Sulfonyls	0.847	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Sulfonyls; Organofluorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Halomethanes; Trihalomethanes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	326.901	29	0.476	757860192655120287	757859796419209788	771	
1	C6H4ClF2IN4O3S	[M - H]-	C6H3ClF2IN4O3S-	Alkaloids	0.110	Histidine alkaloids	0.042	Imidazole alkaloids	0.042	Organoheterocyclic compounds	1.000	Diazines	0.476	Pyrimidines and pyrimidine derivatives	0.239	Halopyrimidines	0.893	Halopyrimidines	0.893	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Sulfonyls; Organochlorides; Organoiodides; Halopyrimidines; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	410.864	29	0.479	757860206311780771	757859796624730694	795	
1	C3H3ClN2O3S2	[M - H]-	C3H2ClN2O3S2-	Amino acids and Peptides	0.386	Small peptides	0.133	Aminoacids	0.161	Organohalogen compounds	0.839	Alkyl halides	0.606	Alkyl chlorides	0.589			Alkyl chlorides	0.589	Organic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl chlorides; Organochlorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	212.921	30	0.492	757860199206626061	757859796834445904	997	
1	C5H4Cl2N4O4S4	[M - H]-	C5H3Cl2N4O4S4-	Alkaloids	0.192	Histidine alkaloids	0.069	Imidazole alkaloids	0.069	Organoheterocyclic compounds	0.984	Azoles	0.855					Azoles	0.855	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Azoles; Sulfonyls; Organochlorides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	380.843	30	0.492	757860205170929644	757859796939303509	999	
1	C9H8Cl6N2O3S2	[M - H]-	C9H7Cl6N2O3S2-	Alkaloids	0.196	Histidine alkaloids	0.022	Imidazole alkaloids	0.022	Benzenoids	0.976	Benzene and substituted derivatives	0.957	Halobenzenes	0.975	Chlorobenzenes	0.980	Dichlorobenzenes	0.976	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Azoles; Alkyl chlorides; Aryl chlorides; Chlorobenzenes; Sulfonyls; Organochlorides; Organosulfonamides; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Aminosulfonyl compounds; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	464.804	30	0.493	757860168961488377	757859797551671918	1035	
1	C13H7Cl7O3S	[M + CH2O2 - H]-	C14H8Cl7O5S-	Polyketides	0.099	Aromatic polyketides	0.020	Tropolones and derivatives (Shikimate)	0.006	Organosulfur compounds	0.996	Thioethers	0.918	Aryl thioethers	0.896	Diarylthioethers	0.671	Diarylthioethers	0.671	Organic compounds; Organosulfur compounds; Halobenzenes; Organohalogen compounds; Aryl chlorides; Chlorobenzenes; Thioethers; Organochlorides; Benzene and substituted derivatives; Halophenols; Thiophenol ethers; Benzenoids; Dichlorobenzenes; Chlorophenols; O-chlorophenols; Aryl halides; Sulfenyl compounds; Diarylthioethers; Hydrocarbon derivatives; Organic oxygen compounds; Aryl thioethers; Chemical entities	532.792	30	0.495	757860207746233372	757859797820107389	1075	
1	C13H8Cl8O6S	[M + CH2O2 - H]-	C14H9Cl8O8S-	Polyketides	0.475	Aromatic polyketides	0.056	Simple aromatic polyketides	0.005	Benzenoids	0.998	Benzene and substituted derivatives	0.976	Halobenzenes	0.993	Chlorobenzenes	0.995	Dichlorobenzenes	0.927	Organic compounds; Organosulfur compounds; Halobenzenes; Phenols; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Organochlorides; Benzene and substituted derivatives; Halophenols; Benzenoids; Dichlorobenzenes; Chlorophenols; O-chlorophenols; P-chlorophenols; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	616.753	30	0.495	757860196773928674	757859797903993474	1077	
1	C8H7Cl6F3O5	[M - H]-	C8H6Cl6F3O5-	Polyketides	0.073	Fatty Acids and Conjugates	0.012	Halogenated fatty acids	0.013	Benzenoids	0.266	Phenol ethers	0.509					Phenol ethers	0.509	Organic compounds; Halobenzenes; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Alkyl fluorides; Organochlorides; Organofluorides; Phenol ethers; Aryl halides; Alkyl halides; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	448.831	30	0.496	757860204273348038	757859798080154252	1098	
1	C2H2ClF3O5	[M - H]-	C2HClF3O5-	Fatty acids	0.940	Fatty Acids and Conjugates	0.931	Halogenated fatty acids	0.934	Lipids and lipid-like molecules	0.265	Fatty Acyls	0.264	Fatty acids and conjugates	0.384	Halogenated fatty acids	0.600	Halogenated fatty acids	0.600	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Hydroxy acids and derivatives; Halogenated fatty acids; Alkyl chlorides; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Organofluorides; Alpha-halocarboxylic acids and derivatives; Carbonyl hydrates; Carbonyl compounds; Halohydrins; Alkyl halides; Alpha-halocarboxylic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	196.947	30	0.497	757860217674155696	757859798164040337	1123	
1	C8H6Cl5F3O2	[M - H]-	C8H5Cl5F3O2-	Terpenoids	0.156	Sesquiterpenoids	0.009	Monoalkylresorcinols	0.003	Benzenoids	0.962	Phenols	0.347	Halophenols	0.593	Chlorophenols	0.563	Chlorophenols	0.563	Organic compounds; Halobenzenes; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Alkyl fluorides; Aryl chlorides; Chlorobenzenes; Organochlorides; Organofluorides; Benzene and substituted derivatives; Halophenols; Phenol ethers; Benzenoids; Chlorophenols; Aryl halides; Alkyl halides; Hydrocarbon derivatives; Halomethanes; Trihalomethanes; Organic oxygen compounds; Phenoxy compounds; Chemical entities	364.869	30	0.497	757860246153492390	757859798243732118	1126	
1	C9H3Cl2F3O5S	[M - H]-	C9H2Cl2F3O5S-	Shikimates and Phenylpropanoids	0.353	Phenolic acids (C6-C1)	0.453	Simple phenolic acids	0.151	Benzenoids	0.999	Benzene and substituted derivatives	0.979	Benzoic acids and derivatives	0.390	Halobenzoic acids and derivatives	0.489	2-halobenzoic acids and derivatives	0.616	Organic compounds; Organosulfur compounds; Halobenzenes; Organic acids and derivatives; Organohalogen compounds; Benzoyl derivatives; Organooxygen compounds; Sulfones; Alkyl fluorides; Aryl chlorides; Chlorobenzenes; Sulfonyls; Carboxylic acids; Organochlorides; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Alkyl halides; Vinyl halides; 2-halobenzoic acids and derivatives; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Halomethanes; Trihalomethanes; Benzenesulfonyl compounds; Organic oxygen compounds; Phenoxy compounds; Chemical entities	348.895	30	0.501	757860211374308273	757859798487001765	140	
1	C17H27N3O3	[M - H]-	C17H26N3O3-	Alkaloids	0.776	Phenylpropanoids (C6-C3)	0.913	Polyamines	0.693	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.991	Amino acids, peptides, and analogues	0.872	Amino acids and derivatives	0.870	Amino acids and derivatives	0.870	Organic compounds; Amino acids, peptides, and analogues; Styrenes; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Cinnamic acids and derivatives; Carboxylic acid derivatives; Hydroxycinnamic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Tertiary amines; Cinnamic acid amides; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	320.198	31	0.512	757860206534078973	757859798717688500	1331	
1	C16H34ClN3O3S	[M - H]-	C16H33ClN3O3S-	Alkaloids	0.503	Ornithine alkaloids	0.135	Polyamines	0.005	Benzenoids	0.865	Benzene and substituted derivatives	0.928	Halobenzenes	0.789	Chlorobenzenes	0.790	Chlorobenzenes	0.790	Organic compounds; Organosulfur compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; Sulfonyls; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	382.193	31	0.516	757860220849245040	757859798868683454	1344	
1	C15H23N6O3	[M + CHO2 + H]-	C16H25N6O5-	Alkaloids	0.720	Small peptides	0.679	Aminoacids	0.155	Organic acids and derivatives	0.984	Carboxylic acids and derivatives	0.972	Amino acids, peptides, and analogues	0.868	Amino acids and derivatives	0.867	Alpha amino acids and derivatives	0.625	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	381.189	31	0.516	757860222057205231	757859798788991673	1375	
1	C5H5N5	[M - H]-	C5H4N5-	Alkaloids	0.989	Pseudoalkaloids (transamidation)	0.896	Purine alkaloids	0.954	Organoheterocyclic compounds	1.000	Imidazopyrimidines	0.992	Purines and purine derivatives	0.993	6-aminopurines	0.921	6-aminopurines	0.921	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organonitrogen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; 6-aminopurines; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	134.047	31	0.517	757860194886491019	757859798939986627	135	
1	C10H13N5O4	[M + CH2O2 - H]-	C11H14N5O6-	Carbohydrates	0.999	Nucleosides	1.000	Purine nucleosides	0.999	Nucleosides, nucleotides, and analogues	0.994	Purine nucleosides	0.980					Purine nucleosides	0.980	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Purine nucleosides; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; 6-aminopurines; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	312.095	35	0.579	757860202914392765	757859799015484104	1489	
